序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
1,2020/10/21 14:34:29,454秒,微信,N/A,183.95.249.4(湖北-武汉),李刚,7非常典型,张强,7非常典型,王力,7非常典型,张梅,7非常典型,张雨荷,7非常典型,李金花,7非常典型,打架,6比较典型,2比较消极,打游戏,6比较典型,4一般,运动,6比较典型,6比较积极,织毛衣,7非常典型,7非常积极,做饭,5有些典型,7非常积极,撒娇,7非常典型,6比较积极,赚钱养家,家庭暴力,做饭,出口成脏,坚强,6比较典型,7非常积极,吃苦耐劳,6比较典型,7非常积极,阳刚,7非常典型,7非常积极,温文尔雅,6比较典型,7非常积极,温柔,7非常典型,7非常积极,长发,7非常典型,7非常积极,阳刚,猥琐,温柔,暴力,男性,23,本科,2
2,2020/10/21 15:17:11,954秒,微信,N/A,119.103.24.221(湖北-武汉),朱广全,6比较典型,李强,6比较典型,王中华,4一般,黄夏温,5有些典型,王倩,6比较典型,张静贤,7非常典型,抽烟,6比较典型,3有些消极,打游戏,6比较典型,4一般,打架,7非常典型,2比较消极,化妆,7非常典型,6比较积极,爱吃美食,4一般,4一般,哭泣,4一般,3有些消极,帮助他人,打女性,独立生活和学习,炫耀,能干,6比较典型,7非常积极,勇敢,6比较典型,6比较积极,傲慢,5有些典型,2比较消极,温柔,6比较典型,6比较积极,胆小,5有些典型,4一般,独立,3有些不典型,6比较积极,能干,怯懦,温柔,自负,女性,24,硕士研究生及以上,7
3,2020/10/21 16:04:15,467秒,手机提交,直接访问,117.136.56.213(黑龙江-哈尔滨),李明,7非常典型,王国强,7非常典型,卢强军,7非常典型,晓红,7非常典型,李萌萌,7非常典型,王红霞,7非常典型,踢球,7非常典型,7非常积极,打游戏,7非常典型,7非常积极,打篮球,7非常典型,7非常积极,织毛衣,7非常典型,7非常积极,打麻将,7非常典型,7非常积极,扭啊扭,7非常典型,7非常积极,请客吃饭,吐痰,笑,化妆画的妖里妖气,摸头发,7非常典型,7非常积极,摸后脑勺,7非常典型,7非常积极,装叛逆,7非常典型,7非常积极,不大声讲话,7非常典型,7非常积极,不大口吃骨头,7非常典型,7非常积极,不手抓饭,7非常典型,7非常积极,幽默,装x,幽默,装x,男性,23,硕士研究生及以上,3
4,2020/10/22 9:57:10,446秒,微信,N/A,218.104.96.138(湖北-武汉),陈龙,7非常典型,周围,7非常典型,林资秀,3有些不典型,位佳丽,7非常典型,赵娜,7非常典型,郑欣然,7非常典型,站着小便,7非常典型,4一般,刮胡子,7非常典型,6比较积极,打王者,4一般,7非常积极,涂口红,7非常典型,7非常积极,化妆,5有些典型,7非常积极,开美颜,6比较典型,6比较积极,开跑车,穿裙子,穿超短裙,随地吐痰,开朗,7非常典型,7非常积极,暴躁,6比较典型,2比较消极,担当,5有些典型,7非常积极,温柔,6比较典型,7非常积极,可爱,6比较典型,5有些积极,任性,6比较典型,1非常消极,担当,不求进取,可爱,任性,男性,22,本科,6
5,2020/10/22 10:06:28,441秒,微信,N/A,171.105.123.12(广西-南宁),叶钦,6比较典型,代展威,6比较典型,赵向荣,6比较典型,温馨,7非常典型,凌霄,7非常典型,张似玉,7非常典型,读哲学书,5有些典型,7非常积极,打游戏,7非常典型,3有些消极,喝酒,6比较典型,4一般,化妆,7非常典型,6比较积极,拍照,7非常典型,7非常积极,旅游,7非常典型,7非常积极,照会顾人,自私,感性,无缘无故发脾气,坚毅,7非常典型,7非常积极,颓废,5有些典型,1非常消极,无所事事,6比较典型,3有些消极,感性,7非常典型,6比较积极,矫情,6比较典型,1非常消极,温柔,6比较典型,6比较积极,坚毅,矫情,温柔,矫情,男性,22,硕士研究生及以上,5
6,2020/10/22 10:16:01,238秒,手机提交,直接访问,113.57.244.183(湖北-武汉),陈钱,4一般,胡伟民,6比较典型,王彦博,1非常不典型,张静,6比较典型,潘奕如,2比较不典型,廖丹,4一般,无,4一般,5有些积极,敲代码,7非常典型,7非常积极,打游戏,7非常典型,6比较积极,玩游戏,6比较典型,6比较积极,买鞋,7非常典型,6比较积极,学习,7非常典型,7非常积极,礼貌,邋遢,礼貌,邋遢,可爱,2比较不典型,5有些积极,聊天,7非常典型,6比较积极,打游戏,7非常典型,5有些积极,购物,7非常典型,6比较积极,睡觉,4一般,3有些消极,熬夜,6比较典型,4一般,礼貌,邋遢,礼貌,邋遢,女性,20,本科,7
7,2020/10/22 10:17:48,464秒,手机提交,直接访问,113.57.237.10(湖北-武汉),张豪,5有些典型,李浩,5有些典型,王浩,5有些典型,王雨萱,7非常典型,何洁,5有些典型,李莉,5有些典型,外八字,5有些典型,2比较消极,抽烟,5有些典型,1非常消极,挠头,5有些典型,4一般,梳头,7非常典型,5有些积极,每天洗澡,6比较典型,6比较积极,买衣服,6比较典型,6比较积极,挠头,抽烟,微笑,抽烟,普通,4一般,4一般,沉稳,4一般,4一般,内敛,4一般,4一般,活泼,4一般,4一般,文静,4一般,4一般,气质,4一般,4一般,沉稳,跳脱,活泼,小心眼,女性,19,本科,2
8,2020/10/22 10:28:17,711秒,手机提交,直接访问,113.57.237.16(湖北-武汉),杨峥博,7非常典型,王晶,1非常不典型,吴晓晨,6比较典型,潘奕如,7非常典型,张静,6比较典型,王晶,6比较典型,打游戏,4一般,4一般,踢球,5有些典型,5有些积极,剃光头,5有些典型,4一般,抱娃娃,5有些典型,5有些积极,化妆,5有些典型,6比较积极,穿裙子,7非常典型,5有些积极,？？？,打架,跳舞,打架,坚强,4一般,5有些积极,强壮,4一般,5有些积极,帅气,6比较典型,6比较积极,温柔,6比较典型,7非常积极,美丽,7非常典型,7非常积极,大方,4一般,4一般,帅气,虚伪,美丽,小气,女性,19,本科,9
9,2020/10/22 10:29:21,285秒,手机提交,直接访问,218.197.142.19(湖北-武汉),王博,7非常典型,张超,7非常典型,李强,7非常典型,马冬梅,7非常典型,马桂兰,7非常典型,马小宝,7非常典型,抠脚,7非常典型,7非常积极,扣嘴,7非常典型,7非常积极,挠头,7非常典型,7非常积极,薅头发,7非常典型,7非常积极,抠脚,7非常典型,7非常积极,打呼噜,7非常典型,7非常积极,抠脚,咀嚼,打呼噜,薅头发,猥琐,7非常典型,7非常积极,穷,7非常典型,7非常积极,老色批,7非常典型,7非常积极,穷,7非常典型,7非常积极,不讲理,7非常典型,1非常消极,牛逼,7非常典型,1非常消极,老色批,猥琐,穷,牛逼,男性,22,本科,1
10,2020/10/22 10:34:49,711秒,手机提交,直接访问,223.104.20.28(湖北-武汉),王涛,6比较典型,牛大力,7非常典型,张伟,7非常典型,李娜,7非常典型,赵小娟,5有些典型,安琪,7非常典型,饭桌上评价国际局势,7非常典型,4一般,抽烟喝酒,6比较典型,1非常消极,去理发店剪头,7非常典型,4一般,网购,6比较典型,4一般,化妆,5有些典型,4一般,追剧,6比较典型,4一般,绅士风度,抽烟喝酒骂骂咧咧,该闭嘴就闭嘴,尖叫骂街,对女性的占有欲,6比较典型,3有些消极,做事不拘小节,7非常典型,2比较消极,抓不住细微情绪,6比较典型,3有些消极,体察入微,5有些典型,6比较积极,温柔体贴,5有些典型,7非常积极,胆子不大,4一般,3有些消极,逻辑性,唯我独尊,细节处理一丝不苟,喜欢办公室八卦,女性,22,本科,5
