,序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度.1,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度.1,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度.1,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度.1,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
0,1,2020/10/21 14:34:29,454秒,微信,,183.95.249.4(湖北-武汉),3,0.25,11,0.25,232,0.25,153,0.25,495,0.25,572,0.25,8,0.21428571428571427,2比较消极,2,0.21428571428571427,4一般,14,0.21428571428571427,6比较积极,85,0.25,7非常积极,29,0.17857142857142858,7非常积极,9,0.25,6比较积极,赚钱养家,家庭暴力,做饭,出口成脏,12,0.21428571428571427,7非常积极,201,0.21428571428571427,7非常积极,11,0.25,7非常积极,238,0.21428571428571427,7非常积极,0,0.25,7非常积极,39,0.25,7非常积极,阳刚,猥琐,温柔,暴力,男性,23,本科,2
1,2,2020/10/21 15:17:11,954秒,微信,,119.103.24.221(湖北-武汉),874,0.21428571428571427,5,0.21428571428571427,1419,0.14285714285714285,1341,0.17857142857142858,41,0.21428571428571427,534,0.25,1,0.21428571428571427,3有些消极,2,0.21428571428571427,4一般,8,0.25,2比较消极,0,0.25,6比较积极,953,0.14285714285714285,4一般,89,0.14285714285714285,3有些消极,帮助他人,打女性,独立生活和学习,炫耀,89,0.21428571428571427,7非常积极,2,0.21428571428571427,6比较积极,258,0.17857142857142858,2比较消极,0,0.21428571428571427,6比较积极,84,0.17857142857142858,4一般,21,0.10714285714285714,6比较积极,能干,怯懦,温柔,自负,女性,24,硕士研究生及以上,7
2,3,2020/10/21 16:04:15,467秒,手机提交,直接访问,117.136.56.213(黑龙江-哈尔滨),6,0.25,347,0.25,479,0.25,178,0.25,498,0.25,742,0.25,99,0.25,7非常积极,2,0.25,7非常积极,5,0.25,7非常积极,85,0.25,7非常积极,156,0.25,7非常积极,381,0.25,7非常积极,请客吃饭,吐痰,笑,化妆画的妖里妖气,307,0.25,7非常积极,309,0.25,7非常积极,340,0.25,7非常积极,413,0.25,7非常积极,416,0.25,7非常积极,417,0.25,7非常积极,幽默,装x,幽默,装x,男性,23,硕士研究生及以上,3
3,4,2020/10/22 9:57:10,446秒,微信,,218.104.96.138(湖北-武汉),137,0.25,482,0.25,1486,0.10714285714285714,672,0.25,244,0.25,620,0.25,115,0.25,4一般,15,0.25,6比较积极,101,0.14285714285714285,7非常积极,420,0.25,7非常积极,0,0.17857142857142858,7非常积极,129,0.21428571428571427,6比较积极,开跑车,穿裙子,穿超短裙,随地吐痰,23,0.25,7非常积极,58,0.21428571428571427,2比较消极,43,0.17857142857142858,7非常积极,0,0.21428571428571427,7非常积极,5,0.21428571428571427,5有些积极,265,0.21428571428571427,1非常消极,担当,不求进取,可爱,任性,男性,22,本科,6
4,5,2020/10/22 10:06:28,441秒,微信,,171.105.123.12(广西-南宁),851,0.21428571428571427,825,0.21428571428571427,954,0.21428571428571427,587,0.25,688,0.25,743,0.25,750,0.17857142857142858,7非常积极,2,0.25,3有些消极,3,0.21428571428571427,4一般,0,0.25,6比较积极,64,0.25,7非常积极,369,0.25,7非常积极,照会顾人,自私,感性,无缘无故发脾气,113,0.25,7非常积极,728,0.17857142857142858,1非常消极,463,0.21428571428571427,3有些消极,10,0.25,6比较积极,78,0.21428571428571427,1非常消极,0,0.21428571428571427,6比较积极,坚毅,矫情,温柔,矫情,男性,22,硕士研究生及以上,5
5,6,2020/10/22 10:16:01,238秒,手机提交,直接访问,113.57.244.183(湖北-武汉),1384,0.14285714285714285,890,0.21428571428571427,1555,0.03571428571428571,19,0.21428571428571427,268,0.07142857142857142,1452,0.14285714285714285,904,0.14285714285714285,5有些积极,214,0.25,7非常积极,2,0.25,6比较积极,17,0.21428571428571427,6比较积极,73,0.25,6比较积极,33,0.25,7非常积极,礼貌,邋遢,礼貌,邋遢,5,0.07142857142857142,5有些积极,352,0.25,6比较积极,42,0.25,5有些积极,62,0.25,6比较积极,964,0.14285714285714285,3有些消极,628,0.21428571428571427,4一般,礼貌,邋遢,礼貌,邋遢,女性,20,本科,7
6,7,2020/10/22 10:17:48,464秒,手机提交,直接访问,113.57.237.10(湖北-武汉),1241,0.17857142857142858,234,0.17857142857142858,194,0.17857142857142858,721,0.25,1362,0.17857142857142858,212,0.17857142857142858,774,0.17857142857142858,2比较消极,1,0.17857142857142858,1非常消极,139,0.17857142857142858,4一般,54,0.25,5有些积极,668,0.21428571428571427,6比较积极,45,0.21428571428571427,6比较积极,挠头,抽烟,微笑,抽烟,908,0.14285714285714285,4一般,56,0.14285714285714285,4一般,82,0.14285714285714285,4一般,24,0.14285714285714285,4一般,15,0.14285714285714285,4一般,957,0.14285714285714285,4一般,沉稳,跳脱,活泼,小心眼,女性,19,本科,2
7,8,2020/10/22 10:28:17,711秒,手机提交,直接访问,113.57.237.16(湖北-武汉),366,0.25,98,0.03571428571428571,832,0.21428571428571427,268,0.25,19,0.21428571428571427,98,0.21428571428571427,2,0.14285714285714285,4一般,99,0.17857142857142858,5有些积极,734,0.17857142857142858,4一般,842,0.17857142857142858,5有些积极,0,0.17857142857142858,6比较积极,20,0.25,5有些积极,？？？,打架,跳舞,打架,12,0.14285714285714285,5有些积极,26,0.14285714285714285,5有些积极,97,0.21428571428571427,6比较积极,0,0.21428571428571427,7非常积极,14,0.25,7非常积极,13,0.14285714285714285,4一般,帅气,虚伪,美丽,小气,女性,19,本科,9
8,9,2020/10/22 10:29:21,285秒,手机提交,直接访问,218.197.142.19(湖北-武汉),278,0.25,264,0.25,5,0.25,216,0.25,664,0.25,661,0.25,16,0.25,7非常积极,237,0.25,7非常积极,139,0.25,7非常积极,130,0.25,7非常积极,16,0.25,7非常积极,180,0.25,7非常积极,抠脚,咀嚼,打呼噜,薅头发,127,0.25,7非常积极,109,0.25,7非常积极,372,0.25,7非常积极,109,0.25,7非常积极,182,0.25,1非常消极,411,0.25,1非常消极,老色批,猥琐,穷,牛逼,男性,22,本科,1
9,10,2020/10/22 10:34:49,711秒,手机提交,直接访问,223.104.20.28(湖北-武汉),167,0.21428571428571427,330,0.25,0,0.25,9,0.25,1290,0.17857142857142858,180,0.25,299,0.25,4一般,37,0.21428571428571427,1非常消极,280,0.25,4一般,62,0.21428571428571427,4一般,0,0.17857142857142858,4一般,7,0.21428571428571427,4一般,绅士风度,抽烟喝酒骂骂咧咧,该闭嘴就闭嘴,尖叫骂街,456,0.21428571428571427,3有些消极,364,0.25,2比较消极,439,0.21428571428571427,3有些消极,776,0.17857142857142858,6比较积极,808,0.17857142857142858,7非常积极,952,0.14285714285714285,3有些消极,逻辑性,唯我独尊,细节处理一丝不苟,喜欢办公室八卦,女性,22,本科,5
